userid;answerid;scenario;intent;status;answer_annotation;notes;suggested_entities;answer_normalised;answer;question
49;2567;general;joke;null;do you know any jokes;null;joke_type;do you know any jokes;Do you know any jokes?;Write what you would tell your PDA in the following scenario: You want to be told a joke.
49;2568;general;joke;null;what's your favorite joke;null;joke_type;what's your favorite joke;What's your favorite joke?;Write what you would tell your PDA in the following scenario: You want to be told a joke.
52;2609;music;likeness;null;its peaceful;null;music_genre, person, preference, song_name;its peaceful;its peaceful;Write what you would tell your PDA in the following scenario: You want to know what music you like.
51;2612;general;joke;null;what's the [joke_type : funniest] joke;null;joke_type;what's the funniest joke;what's the funniest joke;Write what you would tell your PDA in the following scenario: You want to be told a joke.
51;2613;general;joke;null;tell me a [joke_type : dirty] joke;null;joke_type;tell me a dirty joke;tell me a dirty joke;Write what you would tell your PDA in the following scenario: You want to be told a joke.
75;2863;general;joke;null;what is a [joke_type : funny] joke about [joke_type : car];null;joke_type;what is a funny joke about car;what is a funny joke about car;How would you ask for a joke
75;2864;general;joke;null;tell me a joke about a [joke_type : man];null;joke_type;tell me a joke about a man;tell me a joke about a man;How would you ask for a joke
75;2865;general;joke;null;can you find an [joke_type : animal] joke for me;null;joke_type;can you find an animal joke for me;can you find an animal joke for me;How would you ask for a joke
64;2866;music;likeness;null;rate this song to the maximum;null;music_genre, person, preference, song_name;rate this song to the maximum;Rate this song to the maximum.;Write what you would tell your PDA in the following scenario: You want to save your opinion on the song playing.
64;2868;music;likeness;null;find lyrics of this song and save it it is very nice song;null;music_genre, person, preference, song_name;find lyrics of this song and save it it is very nice song;Find lyrics of this song and save it. It is very nice song.;Write what you would tell your PDA in the following scenario: You want to save your opinion on the song playing.
77;3059;general;joke;null;tell me something [joke_type : funny];null;joke_type;tell me something funny;tell me something funny;How would you ask for a joke
77;3097;general;greet;null;hi;null;NULL;hi;hi;Write what you would tell your PDA in the following scenario: You want to start a conversation with your PDA.
77;3099;general;greet;null;hello;null;NULL;hello;hello;Write what you would tell your PDA in the following scenario: You want to start a conversation with your PDA.
83;3157;music;likeness;null;save my music preferences;null;music_genre, person, preference, song_name;save my music preferences;Save my music preferences;Write what you would tell your PDA in the following scenario: You want to know what music you like.
83;3158;music;likeness;null;save my music choices;null;music_genre, person, preference, song_name;save my music choices;Save my music choices;Write what you would tell your PDA in the following scenario: You want to know what music you like.
85;3319;general;greet;null;hey how are you;null;NULL;hey how are you;hey, how are you?;Write what you would tell your PDA in the following scenario: You want to start a conversation with your PDA.
95;3577;general;joke;null;i would like a joke;null;joke_type;i would like a joke;I would like a joke;How would you ask for a joke
95;3578;general;joke;null;give me a joke;null;joke_type;give me a joke;Give me a joke;How would you ask for a joke
95;3579;general;joke;null;a joke please;null;joke_type;a joke please;A joke please;How would you ask for a joke
95;3613;music;likeness;IRR_XL;save opinion;null;music_genre, person, preference, song_name;save opinion;Save opinion;Write what you would tell your PDA in the following scenario: You want to save your opinion on the song playing.
95;3614;music;likeness;IRR_XL;opinion save;null;music_genre, person, preference, song_name;opinion save;Opinion save;Write what you would tell your PDA in the following scenario: You want to save your opinion on the song playing.
95;3615;music;likeness;IRR_XL;add opinion;null;music_genre, person, preference, song_name;add opinion;Add opinion;Write what you would tell your PDA in the following scenario: You want to save your opinion on the song playing.
99;3757;music;likeness;null;i like this song please save;null;music_genre, person, preference, song_name;i like this song plesse save;i like this song plesse save;How would you tell your PDA what you think about a song playing in the background?
99;3758;music;likeness;null;please save this song;null;music_genre, person, preference, song_name;please save this song;please save this song;How would you tell your PDA what you think about a song playing in the background?
99;3759;music;likeness;null;make this my favorite;null;music_genre, person, preference, song_name;make this my favorite;make this my favorite;How would you tell your PDA what you think about a song playing in the background?
109;3793;music;likeness;null;i like the [music_descriptor : background] song;null;music_genre, person, preference, song_name;i like the background song;I like the background song;How would you tell your PDA what you think about a song playing in the background?
109;3794;music;dislikeness;null;that song in the [music_descriptor : background] is annoying;null;music_genre, person, preference, song_name;that song in the background is annoying;That song in the background is annoying.;How would you tell your PDA what you think about a song playing in the background?
100;3928;general;joke;null;show me a [joke_type : funny] joke;null;joke_type;show me a funny joke;Show me a funny joke.;Write what you would tell your PDA in the following scenario: You want to be told a joke.
100;3930;general;joke;null;i need to be cheered up right now can you tell me a [joke_type : good] joke;null;joke_type;i need to be cheered up right now can you tell me a good joke;I need to be cheered up right now. Can you tell me a good joke?;Write what you would tell your PDA in the following scenario: You want to be told a joke.
142;4141;music;dislikeness;null;this song is not very good;null;music_genre, person, preference, song_name;this song is not very good;This song is not very good;Write what you would tell your PDA in the following scenario: You want to save your opinion on the song playing.
142;4142;music;likeness;null;please save this song to my favorites;null;music_genre, person, preference, song_name;please save this song to my favorites;Please save this song to my favorites;Write what you would tell your PDA in the following scenario: You want to save your opinion on the song playing.
142;4143;music;dislikeness;null;do not play this song again;null;music_genre, person, preference, song_name;do not play this song again;Do not play this song again;Write what you would tell your PDA in the following scenario: You want to save your opinion on the song playing.
142;4204;music;likeness;null;save information about [song_name : love] of [artist_name : beyonc];null;music_genre, person, preference, song_name;save information about love of beyoncΓö£┬«;Save information about love of BeyoncΓö£┬«;Write what you would tell your PDA in the following scenario: You want to know what music you like.
142;4205;music;dislikeness;null;do not play [music_genre : rock metal];null;music_genre, person, preference, song_name;do not play rock metal;Do not play rock metal;Write what you would tell your PDA in the following scenario: You want to know what music you like.
153;4297;general;greet;null;how are you [date : today];null;NULL;how are you today;How are you today;How would you start a casual conversation with your PDA?
153;4298;general;greet;null;good morning;null;NULL;good morning;Good morning;How would you start a casual conversation with your PDA?
153;4299;general;greet;null;good afternoon;null;NULL;good afternoon;Good afternoon;How would you start a casual conversation with your PDA?
159;4303;music;likeness;null;i really ska music;null;music_genre, person, preference, song_name;i really ska music;I really ska music.;How would you tell your PDA about the music you like?
159;4305;music;likeness;null;i find [music_genre : rap] music really enjoyable;null;music_genre, person, preference, song_name;i find rap music really enjoyable;I find rap music really enjoyable.;How would you tell your PDA about the music you like?
153;4315;music;likeness;null;save all songs from [artist_name : katy perry];null;music_genre, person, preference, song_name;save all songs from katy perry;Save all songs from Katy perry;How would you tell your PDA about the music you like?
165;4420;general;joke;null;crack a joke;null;joke_type;crack a joke;crack a joke;Write what you would tell your PDA in the following scenario: You want to be told a joke.
165;4422;general;joke;null;tell [joke_type : funny] things;null;joke_type;tell funny things;tell funny things;Write what you would tell your PDA in the following scenario: You want to be told a joke.
166;4468;music;likeness;null;all i ever want to hear is [music_genre : rap];null;music_genre, person, preference, song_name;all i ever want to hear is rap;All I ever want to hear is rap.;How would you tell your PDA about the music you like?
166;4469;music;dislikeness;null;never ever play me any [music_genre : country];null;music_genre, person, preference, song_name;never ever play me any country;Never, ever play me any country.;How would you tell your PDA about the music you like?
166;4470;music;likeness;null;my favorite music is [music_genre : rock] from the [date : early two thousands];null;music_genre, person, preference, song_name;my favorite music is rock from the early two thousands;My favorite music is rock from the early two thousands.;How would you tell your PDA about the music you like?
173;4584;general;joke;null;say something [joke_type : funny];null;joke_type;say something funny;say something funny;Write what you would tell your PDA in the following scenario: You want to be told a joke.
160;4799;general;joke;null;make me smile by telling a joke;null;joke_type;make me smile by telling a joke;make me smile by telling a joke;Write what you would tell your PDA in the following scenario: You want to be told a joke.
160;4800;general;joke;null;find a joke in your vault and tell me;null;joke_type;find a joke in your vault and tell me;find a joke in your vault and tell me;Write what you would tell your PDA in the following scenario: You want to be told a joke.
183;4874;general;joke;null;what's the [joke_type : funniest] joke you know;null;joke_type;what's the funniest joke you know;What's the funniest joke you know?;How would you ask for a joke
183;4875;general;joke;null;find me the best [joke_type : knock knock] joke on the internet;null;joke_type;find me the best knock knock joke on the internet;Find me the best knock knock joke on the internet.;How would you ask for a joke
181;4885;music;likeness;IRR_XL;i want to say something about this song;null;music_genre, person, preference, song_name;i want to say something about this song;I WANT TO SAY SOMETHING ABOUT THIS SONG.;How would you tell your PDA what you think about a song playing in the background?
181;4886;music;likeness;null;this song is amazing is not it;null;music_genre, person, preference, song_name;this song is amazing is not it;THIS SONG IS AMAZING, IS NOT IT ?;How would you tell your PDA what you think about a song playing in the background?
181;4887;music;likeness;IRR;abhi jo song play ho raha hai uske baare me kya khyaal hai;Not in English;music_genre, person, preference, song_name;abhi jo song play ho raha hai uske baare me kya khyaal hai;ABHI JO SONG PLAY HO RAHA HAI USKE BAARE ME KYA KHYAAL HAI ?;How would you tell your PDA what you think about a song playing in the background?
184;4975;general;greet;null;hey;null;NULL;hey;Hey PDA!;Write what you would tell your PDA in the following scenario: You want to start a conversation with your PDA.
181;5006;music;likeness;null;i favorite singer is [artist_name : arijit singh] find his voice on radio;null;artist;i favorite singer is arijit singh find his voice on radio;I FAVORITE SINGER IS ARIJIT SINGH, FIND HIS VOICE ON RADIO.;How would you ask your PDA to play music by an artist you know?
161;5200;music;likeness;null;i like [artist_name : justin beibers] music please play it;null;music_genre, person, preference, song_name;i like justin beibers music please play it;I like Justin Beibers music, please play it;How would you tell your PDA about the music you like?
161;5201;music;likeness;null;i love the songs of [artist_name : micheal jackson] can you save some songs of jackson for me;null;music_genre, person, preference, song_name;i love the songs of micheal jackson can you save some songs of jackson for me;I love the songs of micheal Jackson, can you save some songs of jackson for me;How would you tell your PDA about the music you like?
161;5202;music;likeness;null;i like the songs of [artist_name : yeshudas] please play it;null;music_genre, person, preference, song_name;i like the songs of yeshudas please play it;I like the songs of Yeshudas please play it.;How would you tell your PDA about the music you like?
181;5218;music;likeness;null;i like a song sing by [artist_name : arijit singh];null;music_genre, person, preference, song_name;i like a song sing by arijit singh;I LIKE A SONG SING BY ARIJIT SINGH.;How would you tell your PDA about the music you like?
181;5219;music;likeness;null;that song is my favorite;null;music_genre, person, preference, song_name;that song is my favorite;THAT SONG IS MY FAVORITE.;How would you tell your PDA about the music you like?
181;5220;music;likeness;IRR;ye song mera favorite hai main esse bahut baar sun chuka hu;Not in English;music_genre, person, preference, song_name;ye song mera favorite hai main esse bahut baar sun chuka hu;YE SONG MERA FAVORITE HAI MAIN ESSE BAHUT BAAR SUN CHUKA HU.;How would you tell your PDA about the music you like?
194;5388;general;joke;null;what's a [joke_type : good] joke;null;joke_type;what's a good joke;What's a good joke?;How would you ask for a joke
193;5449;general;greet;null;hey what's up;null;NULL;hey what's up;Hey Olly what's up.;Write what you would tell your PDA in the following scenario: You want to start a conversation with your PDA.
211;5679;music;likeness;null;please save that song;null;music_genre, person, preference, song_name;please save that song;please save that song;How would you tell your PDA what you think about a song playing in the background?
210;5775;general;joke;null;say a [joke_type : funny];null;joke_type;say a funny;PDA, say a funny.;Write what you would tell your PDA in the following scenario: You want to be told a joke.
215;5921;general;joke;null;search for [joke_type : new] jokes;null;joke_type;search for new jokes;Search for new jokes;How would you ask for a joke
215;5922;general;joke;null;what is the [joke_type : highest rated] joke [date : today];null;joke_type;what is the highest rated joke today;What is the highest rated joke today;How would you ask for a joke
219;6085;music;likeness;null;add that song to my playlist;null;music_genre, person, preference, song_name;add that song to my playlist;Add that song to my playlist.;How would you tell your PDA what you think about a song playing in the background?
219;6086;music;likeness;null;remind me that i like that song;null;music_genre, person, preference, song_name;remind me that i like that song;Remind me that I like that song.;How would you tell your PDA what you think about a song playing in the background?
219;6087;music;likeness;null;i love that song who sings it;null;music_genre, person, preference, song_name;i love that song who sings it;I love that song. Who sings it?;How would you tell your PDA what you think about a song playing in the background?
232;6319;general;joke;null;tell me a good [joke_type : doctor] joke;null;joke_type;tell me a good doctor joke;Tell me a good doctor joke.;How would you ask for a joke
232;6320;general;joke;null;find me a joke related to [joke_type : baseball];null;joke_type;find me a joke related to baseball;Find me a joke related to baseball.;How would you ask for a joke
232;6321;general;joke;null;search for a good [joke_type : nerd] joke;null;joke_type;search for a good nerd joke;Search for a good nerd joke.;How would you ask for a joke
233;6403;music;likeness;null;please save my opinion about the song that is currently playing;null;music_genre, person, preference, song_name;please save my opinion about the song that is currently playing;Please save my opinion about the song that is currently playing.;Write what you would tell your PDA in the following scenario: You want to save your opinion on the song playing.
233;6404;music;likeness;null;save my opinion about the current song playing;null;music_genre, person, preference, song_name;save my opinion about the current song playing;Save my opinion about the current song playing.;Write what you would tell your PDA in the following scenario: You want to save your opinion on the song playing.
233;6405;music;likeness;null;save my opinion on the currently playing song;null;music_genre, person, preference, song_name;save my opinion on the currently playing song;Save my opinion on the currently playing song.;Write what you would tell your PDA in the following scenario: You want to save your opinion on the song playing.
253;6589;music;likeness;IRR;rating;null;music_genre, person, preference, song_name;rating;Rating;Write what you would tell your PDA in the following scenario: You want to save your opinion on the song playing.
253;6591;music;likeness;IRR;lyrics;null;music_genre, person, preference, song_name;lyrics;Lyrics;Write what you would tell your PDA in the following scenario: You want to save your opinion on the song playing.
257;7087;music;dislikeness;null;I don't like that song turn it off;null;music_genre, person, preference, song_name;i don't like that song turn it off;I don't like that song. Turn it off.;How would you tell your PDA what you think about a song playing in the background?
257;7088;music;likeness;null;this is a good song put it on [player_setting : repeat];null;music_genre, person, preference, song_name;this is a good song put it on repeat;This is a good song. Put it on repeat.;How would you tell your PDA what you think about a song playing in the background?
257;7089;music;likeness;null;this is my favorite song;null;music_genre, person, preference, song_name;this is my favorite song;This is my favorite song.;How would you tell your PDA what you think about a song playing in the background?
267;7132;music;likeness;null;save [song_name : chhana mereya] song in my playlist;null;music_genre, person, preference, song_name;save chhana mereya song in my playlist;Save chhana mereya song in my playlist;How would you tell your PDA about the music you like?
267;7133;music;likeness;null;filter all [artist_name : arijit singh] [music_descriptor : sad] song and save or create playlist of [playlist_name : sad songs of arijit singh];null;music_genre, person, preference, song_name;filter all arijit singh sad song and save or create playlist of sad songs of arijit singh;Filter all arijit singh sad song and save or create playlist of sad songs of arijit singh;How would you tell your PDA about the music you like?
267;7134;music;likeness;null;download and save song of [music_descriptor : dangal movie];null;music_genre, person, preference, song_name;download and save song of dangal movie;Download and save song of Dangal Movie;How would you tell your PDA about the music you like?
273;7228;music;likeness;IRR_XL;what do you think;null;music_genre, person, preference, song_name;what do you think;What do you think?;How would you tell your PDA what you think about a song playing in the background?
273;7229;music;likeness;null;you like the song;null;music_genre, person, preference, song_name;you like the song;You like the song?;How would you tell your PDA what you think about a song playing in the background?
273;7230;music;likeness;null;i love the song do you;null;music_genre, person, preference, song_name;i love the song do you;I love the song, do you?;How would you tell your PDA what you think about a song playing in the background?
283;7441;general;greet;null;good afternoon how are you;null;NULL;good afternoon how are you;Good afternoon, how are you?;Write what you would tell your PDA in the following scenario: You want to start a conversation with your PDA.
288;7624;music;likeness;null;my favorite singer is [artist_name : shakira];null;music_genre, person, preference, song_name;my favorite singer is shakira;My favorite singer is shakira;How would you tell your PDA about the music you like?
288;7625;music;likeness;null;i like songs from;null;music_genre, person, preference, song_name;i like songs from;I like songs from 90s;How would you tell your PDA about the music you like?
288;7626;music;likeness;null;my all time favorite song is [song_name : something like this] from [artist_name : chainsmokers];null;music_genre, person, preference, song_name;my all time favorite song is something like this from chain smokers;My all time favorite song is something like this from chain smokers;How would you tell your PDA about the music you like?
59;7634;general;greet;null;hello what are you up to;null;NULL;hello what are you up to;Hello, what are you up to?;Write what you would tell your PDA in the following scenario: You want to start a conversation with your PDA.
297;7765;music;likeness;null;add that song to my top ten favorites list;null;music_genre, person, preference, song_name;add that song to my top ten favorites list;Add that song to my Top 10 favorites list;Write what you would tell your PDA in the following scenario: You want to save your opinion on the song playing.
297;7766;music;likeness;null;great song for the commute;null;music_genre, person, preference, song_name;great song for the commute;Great song for the commute;Write what you would tell your PDA in the following scenario: You want to save your opinion on the song playing.
297;7767;music;likeness;null;add song to [playlist_name : running] list;null;music_genre, person, preference, song_name;add song to running list;Add song to running list;Write what you would tell your PDA in the following scenario: You want to save your opinion on the song playing.
59;7781;music;likeness;null;that song was awesome can you repeat;null;NULL;that song was awesome can you repeat;That song was awesome, can you repeat?;Write what you would tell your PDA in the following scenario: You want to hear something again.
296;7828;music;likeness;null;save that song and my opinion;null;music_genre, person, preference, song_name;save that song and my opinion;save that song and my opinion;Write what you would tell your PDA in the following scenario: You want to save your opinion on the song playing.
297;7929;general;greet;null;good evening;null;NULL;good evening;Good evening;How would you start a casual conversation with your PDA?
299;8057;general;joke;null;[joke_type : funny] joke;null;joke_type;funny joke;Funny joke;How would you ask for a joke
299;8095;general;greet;null;hello how are you [date : today];null;NULL;hello how are you today;Hello Olly, how are you today?;How would you start a casual conversation with your PDA?
303;8128;music;likeness;null;record the opinion of each individual about this song;null;music_genre, person, preference, song_name;record the opinion of each individual about this song;record the opinion of each individual about this song.;How would you tell your PDA what you think about a song playing in the background?
303;8129;music;likeness;null;save the information which is provided by [artist_name : aman] on this song;null;music_genre, person, preference, song_name;save the information which is provided by aman on this song;save the information which is provided by aman on this song.;How would you tell your PDA what you think about a song playing in the background?
307;8284;general;greet;null;hello how are you;null;NULL;hello how are you;Hello how are you?;How would you start a casual conversation with your PDA?
313;8419;music;likeness;null;keep that song for when i need cheering up;null;music_genre, person, preference, song_name;keep that song for when i need cheering up;keep that song for when I need cheering up;How would you tell your PDA what you think about a song playing in the background?
313;8420;music;dislikeness;null;i never want to hear that song again;null;music_genre, person, preference, song_name;i never want to hear that song again;I never want to hear that song again;How would you tell your PDA what you think about a song playing in the background?
313;8421;music;likeness;null;put that song in my favourite list;null;music_genre, person, preference, song_name;put that song in my favourite list;put that song in my favourite list;How would you tell your PDA what you think about a song playing in the background?
317;8557;music;likeness;null;i love anything by [artist_name : elton john];null;music_genre, person, preference, song_name;i love anything by elton john;I love anything by Elton John.;How would you tell your PDA about the music you like?
332;8873;general;joke;null;hey share me some joke to make me happy;null;joke_type;hey share me some joke to make me happy;Hey share me some joke to make me happy;Write what you would tell your PDA in the following scenario: You want to be told a joke.
332;8874;general;joke;null;share me a joke;null;joke_type;share me a joke;share me a joke;Write what you would tell your PDA in the following scenario: You want to be told a joke.
83;8904;general;joke;null;tell me a joke about [joke_type : birds];null;joke_type;tell me a joke about birds;Tell me a joke about birds.;How would you ask for a joke
322;9034;music;likeness;null;save my spotify preferences;null;music_genre, person, preference, song_name;save my spotify preferences;Save my spotify preferences;How would you tell your PDA about the music you like?
322;9035;music;likeness;null;save the last radio stations of the [date : last month];null;music_genre, person, preference, song_name;save the last radio stations of the last month;Save the last radio stations of the last month;How would you tell your PDA about the music you like?
322;9095;music;likeness;null;send this song to my favorites;null;order, song_name;send this song to my favorites;Send this song to my favorites;Write what you would tell your PDA in the following scenario: You want to play one of your playlists.
327;9250;music;likeness;null;i love to [music_genre : rock] out with my sock out;null;music_genre, person, preference, song_name;i love to rock out with my sock out;PDA I love to rock out with my sock out.;Write what you would tell your PDA in the following scenario: You want to know what music you like.
327;9251;music;likeness;null;i am forever [music_genre : hip hop];null;music_genre, person, preference, song_name;i am forever hip hop;PDA I am forever hip hop.;Write what you would tell your PDA in the following scenario: You want to know what music you like.
327;9252;music;likeness;null;i am the living [music_genre : blues];null;music_genre, person, preference, song_name;i am the living blues;PDA I am the living blues.;Write what you would tell your PDA in the following scenario: You want to know what music you like.
340;9280;general;joke;null;joke please;null;joke_type;joke please;Joke please;How would you ask for a joke
340;9282;general;joke;null;i wanna laugh can you make it happen;null;joke_type;i wanna laughcan you make it happen;I wanna laugh,Can you make it happen?;How would you ask for a joke
355;9628;music;likeness;null;what a wonderful song can you save what i just said for me;null;music_genre, person, preference, song_name;what a wonderful song can you save what i just said for me;what a wonderful song. can you save what i just said, for me?;Write what you would tell your PDA in the following scenario: You want to save your opinion on the song playing.
355;9629;music;likeness;null;isn't it a lovely song please save this for me;null;music_genre, person, preference, song_name;isn't it a lovely song please save this for me;Isn't it a lovely song? please save this for me.;Write what you would tell your PDA in the following scenario: You want to save your opinion on the song playing.
355;9630;music;likeness;null;can you save this what a nice song for me;null;music_genre, person, preference, song_name;can you save this what a nice song for me;Can you save this, 'what a nice song', for me?;Write what you would tell your PDA in the following scenario: You want to save your opinion on the song playing.
358;9649;music;likeness;null;add the song to my favorites;null;music_genre, person, preference, song_name;add the song to my favorites;Add the song to my favorites;How would you tell your PDA what you think about a song playing in the background?
374;9805;general;joke;null;could you tell me [joke_type : funny] things;null;joke_type;could you tell me funny things;could you tell me funny things;How would you ask for a joke
374;9806;general;joke;null;say some jokes;null;joke_type;say some jokes;say some jokes;How would you ask for a joke
391;10390;music;likeness;null;save this channel on [app_name : pandora] please;null;music_genre, person, preference, song_name;save this channel on pandora please;PDA: Save this channel on Pandora please;Write what you would tell your PDA in the following scenario: You want to know what music you like.
391;10391;music;likeness;null;add this song to my playlist;null;music_genre, person, preference, song_name;add this song to my playlist;PDA: Add this song to my playlist;Write what you would tell your PDA in the following scenario: You want to know what music you like.
391;10392;music;likeness;null;add this channel to [app_name : pandora];null;music_genre, person, preference, song_name;add this channel to pandora;PDA: Add this channel to Pandora;Write what you would tell your PDA in the following scenario: You want to know what music you like.
399;10574;music;likeness;null;make a note please i like [music_genre : modern alternative rock] music;null;music_genre, person, preference, song_name;make a note please i like modern alternative rock music;Make a note, please: I like modern alternative rock music;Write what you would tell your PDA in the following scenario: You want to know what music you like.
407;10610;music;likeness;null;this song is my favourite;null;music_genre, person, preference, song_name;this song is my favourite;This song is my favourite;How would you tell your PDA what you think about a song playing in the background?
407;10611;music;likeness;null;i want to listen [general_frequency : daily] to this song;null;music_genre, person, preference, song_name;i want to listen daily to this song;I want to listen daily to this song;How would you tell your PDA what you think about a song playing in the background?
402;10693;general;joke;MOD_XL;i need a [joke_type : funny] joke to tell [person : sam];null;joke_type;i need a funny joke to tell sam;Olly, I need a funny joke to tell Sam.;How would you ask for a joke
402;10694;general;joke;null;do you know what a joke is;null;joke_type;do you know what a joke is;Olly, do you know what a joke is?;How would you ask for a joke
402;10695;general;joke;null;i need a [joke_type : naughty] joke not to naughty though;null;joke_type;i need a naughty joke not to naughty though;Olly, I need a naughty joke, not to naughty though.;How would you ask for a joke
414;10772;general;joke;null;do you have a [joke_type : funny] joke for me;null;joke_type;do you have a funny joke for me;Do you have a funny joke for me?;How would you ask for a joke
414;10773;general;joke;null;do you know any [joke_type : good] jokes;null;joke_type;do you know any good jokes;Do you know any good jokes?;How would you ask for a joke
422;10786;general;joke;null;find the joke about [food_type : the orange and the banana];null;joke_type;find the joke about the orange and the banana;Find the joke about the orange and the banana.;How would you ask for a joke
422;10788;general;joke;MOD_XL;i need to find a [joke_type : funny] joke that is ok for [relation : kids];null;joke_type;i need to find a funny joke that is ok for kids;I need to find a funny joke that is ok for kids.;How would you ask for a joke
426;10813;music;likeness;null;i have to done it on the post important music file;null;music_genre, person, preference, song_name;i have to done it on the post important music file;i have to done it on the post important music file;How would you tell your PDA about the music you like?
426;10814;music;likeness;null;i like to be it;null;music_genre, person, preference, song_name;i like to be it;i like to be it;How would you tell your PDA about the music you like?
